sample,Acidobacteria,Actinobacteria,Bacteroidetes,Firmicutes,Nitrospirae,Planctomycetes,Proteobacteria,Cyanobacteria,Verrucomicrobia,Fusobacteria,Synergistetes,Fibrobacteres,Deinococcus.Thermus,Spirochaetes,Aquificae,Deferribacteres,Chlorobi,Chloroflexi,Ignavibacteriae,Balneolaeota,Tenericutes
990.KA2U.A.03,0.008264463,0.190082645,0.247933884,0.05785124,0,0.008264463,0.47107438,0,0.016528926,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.04,0.008130081,0.162601626,0.195121951,0.081300813,0,0,0.536585366,0,0.016260163,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.05,0.008064516,0.14516129,0.258064516,0.048387097,0.008064516,0,0.516129032,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.06,0.012345679,0.12345679,0.197530864,0.111111111,0,0,0.543209877,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.07,0.009345794,0.121495327,0.308411215,0.074766355,0,0.009345794,0.457943925,0,0.018691589,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.08,0.008695652,0.191304348,0.252173913,0.043478261,0,0,0.486956522,0,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.09,0.0125,0.1625,0.2,0.1,0,0,0.5125,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.10,0.008849558,0.17699115,0.221238938,0.079646018,0,0,0.398230088,0.10619469,0.008849558,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.11,0.007692308,0.176923077,0.223076923,0.046153846,0,0,0.538461538,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.12,0.01369863,0.136986301,0.205479452,0.095890411,0,0.01369863,0.520547945,0,0.01369863,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.13,0.009090909,0.145454545,0.245454545,0.081818182,0,0.009090909,0.5,0,0.009090909,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.14,0.011627907,0.11627907,0.244186047,0.093023256,0,0,0.523255814,0,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.15,0.009803922,0.147058824,0.225490196,0.12745098,0,0,0.480392157,0,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.16,0.009009009,0.135135135,0.243243243,0.072072072,0,0,0.468468468,0.054054054,0.018018018,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.17,0.011494253,0.183908046,0.172413793,0.103448276,0,0.011494253,0.505747126,0,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.18,0.00990099,0.158415842,0.247524752,0.059405941,0,0,0.514851485,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.19,0.016260163,0.203252033,0.195121951,0.097560976,0,0,0.479674797,0,0.008130081,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.20,0.013888889,0.152777778,0.138888889,0.166666667,0,0.013888889,0.5,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.21,0.014084507,0.14084507,0.169014085,0.126760563,0,0.014084507,0.521126761,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.22,0.007352941,0.176470588,0.25,0.051470588,0,0.007352941,0.492647059,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.23,0.019230769,0.144230769,0.201923077,0.096153846,0,0,0.528846154,0,0.009615385,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.24,0.012820513,0.192307692,0.153846154,0.076923077,0,0,0.551282051,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.A.25,0.0125,0.2,0.2375,0.1,0,0.0125,0.425,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.01,0.01,0.14,0.23,0.09,0.01,0.01,0.49,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.02,0.008547009,0.11965812,0.239316239,0.111111111,0.008547009,0.008547009,0.487179487,0,0.017094017,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.03,0.012048193,0.144578313,0.180722892,0.108433735,0,0.012048193,0.530120482,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.05,0.018181818,0.145454545,0.245454545,0.1,0,0.009090909,0.463636364,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.06,0.024390244,0.12195122,0.207317073,0.109756098,0.012195122,0.012195122,0.487804878,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.07,0.008403361,0.151260504,0.260504202,0.100840336,0.008403361,0.008403361,0.445378151,0,0.016806723,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.08,0.017094017,0.153846154,0.162393162,0.102564103,0.008547009,0,0.538461538,0,0.017094017,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.09,0.016949153,0.152542373,0.118644068,0.101694915,0,0.016949153,0.576271186,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0
